"query","title","link","description","when","start_date","end_date","address","venue","location","thumbnail"
"book club events Seattle","Tool Library Book Club","https://seattlereconomy.org/event/tool-library-book-club-9/","We will discuss ""Hollow Kingdom"" by Kira Jane Buxton. Everyone is welcome!Join us for the tenth edition of the NE Seattle Tool Library\'s book club! We’ll be reading the Hollow […]\n","Wed, Feb 18, 7:00 – 8:30 PM","Feb 18","","['NE Seattle Tool Library, 10228 Fischer Pl NE', 'Seattle, WA']","{'name': 'NE Seattle Tool Library', 'rating': 5.0, 'reviews': 112, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=NE+Seattle+Tool+Library&ludocid=5152225841349018045&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROVRRjC_JWs2--u0yHgc2jJO2ZoKGx2rcFRZgOJ6VeYszvkVFMcqYi6qc&s"
"book club events Seattle","Bookish Trivia Night","https://theticket.seattletimes.com/calendar/?_evDiscoveryPath=/event/3430587-romance-trivia-with-silent-book-club-capitol-hill-and-freeze-tag","Join Silent Book Club Capitol Hill and Freeze Tag for a post Valentine’s themed bookish trivia event ! 🤔 Romance Based Trivia - Find out how much you know about romantic and platonic...","Thu, Feb 19, 6:30 – 9:00 PM","Feb 19","","['a/stir, 818 E Pike St', 'Seattle, WA']","{'name': 'a/stir', 'rating': 4.4, 'reviews': 2769, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=a/stir&ludocid=14974147909897517743&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuUQnD57ihAiQm17z5mW3YcX73NiKBVeFyQL-NXkcJcP366iPlG6fWfww&s"
"book club events Seattle","SJCC Book Club","https://sjcc.org/event/sjcc-book-club/","Join us as we launch a new SJCC Book Club, a space for thoughtful reading, meaningful discussion, and connection across our SJCC community. Our first selection is “Hostage,” by Eli Sharabi, a...","Tue, Feb 17, 6:30 – 8:00 PM","Feb 17","","['Stroum Jewish Community Center, 3801 E Mercer Way', 'Mercer Island, WA']","{'name': 'Stroum Jewish Community Center', 'rating': 4.4, 'reviews': 50, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Stroum+Jewish+Community+Center&ludocid=14566958498020553624&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVSlsImCm5Wd9ysMvYcRk2gAfw3NWCOV7dhjGihEHGgtAjrqZplv-k85Y&s"
"book club events Seattle","Asylum Book Club","https://www.eventbrite.com/e/silent-reading-jazz-wine-bar-coffee-tickets-1956762151269?aff=erelexpmlt","Unwind with a book, global jazz, and bottomless drinks in hand. BYOB (Bring Your Own Book) or borrow one from Asylum's library. 21+ Silent Reading Night @ Asylum | 7PM–9PM 📍 Asylum Collective ...","Tue, Feb 24, 6 – 8 PM","Feb 24","","['Asylum, 108 S Jackson St ste b', 'Seattle, WA']","{'name': 'Asylum', 'rating': 4.2, 'reviews': 18, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Asylum&ludocid=17463902448047566843&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj9o5J1KePSiSxjdo3uhtiZM1apAUXCItdknWlu99_RX2pB3sLUW_i9rQ&s"
"book club events Seattle","Obec Book Club — Ballard Brewed Coalition","https://www.ballardbrewed.com/events/nhq3ga7q0u6s02f4dxzhytqdp0o61d-hyd43-zzxm7-339ge-a8myz-nk9az-eaat5-eatwa-cg9xe-2y764-xcs7p-2azln-rhhnp-a22jj-ew8zg-2ehbb-3hpcg-jhmw6-pw54h-7kkjw","Obec Book Club The book for February will be selected at the January meetup.","Mon, Feb 23, 6 – 8 PM","Feb 23","","['Obec Brewing, 1144 NW 52nd St', 'Seattle, WA']","{'name': 'Obec Brewing', 'rating': 4.6, 'reviews': 327, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Obec+Brewing&ludocid=11757658827303850673&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoo3c5BOz0EabYHtE22YhvXJRzsNp8hWBfjAbJvTg&s"
"book club events Seattle","Silent Book Club","https://populusseattle.com/event/silent-book-club/2026-04-16/","Populus Seattle welcomes the global phenomenon Silent Book Club to Pioneer Square. Guests are invited to enjoy a free evening of quiet reading, soft music, and cozy connection in one … Continued\n","Thu, Apr 16, 6 – 8 PM","Apr 16","","['Populus Seattle, 100 S King St', 'Seattle, WA']","{'name': 'Populus Seattle', 'rating': 4.8, 'reviews': 94, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Populus+Seattle&ludocid=15661429051333575943&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiyeN8OiJzCZS7hIcMfDRvlOrrFmmwV87QYzitRYWJgJ7i07eNkLPzV54&s"
"book club events Seattle","Book Club - The Sword of Kaigen by M.L. Wang","https://www.meetup.com/fremontfantasy/","Welcome to the Fremont Fantasy Book Club! We will meet once a month in the Fremont area to discuss a book! If you like to read fun books and yap about them, come hang. This is a low stress...","Sun, Feb 22, 12:30 – 2:00 PM","Feb 22","","['Fremont Branch - The Seattle Public Library, 731 N 35th St', 'Seattle, WA']","{'name': 'Fremont Branch - The Seattle Public Library', 'rating': 4.6, 'reviews': 80, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Fremont+Branch+-+The+Seattle+Public+Library&ludocid=17708832592472631783&ibp=gwp%3B0,7'}","","https://www.google.com/maps/vt/data=QLd0KA20JQu0iXj2K8cKn5svsGE_SQ-R_Ch3s-ZJ9itwZ4goAQVcQjndo6UuHPhqexnoUeLwcHZLZRy1nbZLBUsYiuL4whjic0L6QYT1gUmGz3ATxjw"
"book club events Seattle","February Book Club!","https://www.eventbrite.com/e/february-book-club-tickets-1981536108843","Come meet new people and talk about Remarkably Bright Creatures. Enjoy 10% off while you are here for Book Club!","Fri, Feb 27, 7 – 8 PM","Feb 27","","['Sfingiday, 601 N 35th St', 'Seattle, WA']","{'name': 'Sfingiday', 'rating': 4.9, 'reviews': 65, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Sfingiday&ludocid=5063786251865508428&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR-m9MIe6H4RImMsLVeJUMpgwMQ2VlxognwB-Pg08&s"
"book club events Seattle","March Book Club - ""Spear"" by Nicola Griffith","https://www.meetup.com/lesbianlit-117/events/312781735/","A book-club discussion of Spear by Nicola Griffith for readers of queer Arthurian fiction; participants will identify themes and takeaways.","Sat, Mar 14, 9:30 – 11:30 PM","Mar 14","","['400 E Pine St', 'Seattle, WA']","","","https://www.google.com/maps/vt/data=uIT_Bg-lzFgcY7KywkIkHce108Vky0_IkaaT9ydgEHvUiQATZ1hy0Fohgpp_dHRuFngyXGmRZE1lPgxbzqBw5UlSMzRknng9DCs4PN0CejjYZy3XSmA"
"book club events Seattle","Bookish Romance Trivia with Silent Book Club Capitol Hill and Freeze Tag","https://yotix.in/events/detail/bookish-romance-trivia-with-silent-book-club-capitol-hill-and-freeze-tag-1980232109546","","Fri, Feb 20, 2:30 – 5:00 AM","Feb 20","","['818 E Pike St', 'Seattle, WA']","","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDlEOxKH3g2xAnt2BjYb9RdKL74o4i_SUQaHeXg118y31QiK9Jp38xs_o&s"
